"series","alias","status","use_in","asset_type","text","chars","final_url"
"Pishachini: The Healer","pishachini","✅ ready","Search · App · Demand Gen","headline (≤30)","Pishachini: The Healer","22","https://thegulel.com/go/pishachini?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_pishachini"
"Pishachini: The Healer","pishachini","✅ ready","Search · App · Demand Gen","headline (≤30)","Episode 1 FREE on Gulel","23","https://thegulel.com/go/pishachini?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_pishachini"
"Pishachini: The Healer","pishachini","✅ ready","Search · App · Demand Gen","headline (≤30)","हर इलाज की एक कीमत होती है।","21","https://thegulel.com/go/pishachini?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_pishachini"
"Pishachini: The Healer","pishachini","✅ ready","Search · App · Demand Gen","headline (≤30)","अमावस्या से पहले सच जानना होगा।","21","https://thegulel.com/go/pishachini?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_pishachini"
"Pishachini: The Healer","pishachini","✅ ready","Search · App · Demand Gen","headline (≤30)","क्या आप उससे इलाज करवाते?","18","https://thegulel.com/go/pishachini?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_pishachini"
"Pishachini: The Healer","pishachini","✅ ready","Demand Gen · PMax","long headline (≤90)","Every life she saves demands a death in return. Watch Episode 1 free.","69","https://thegulel.com/go/pishachini?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_pishachini"
"Pishachini: The Healer","pishachini","✅ ready","Search · App · Demand Gen","description (≤90)","Watch Episode 1 free on Gulel. 2-minute Hindi episodes. Ep 2+ with coins or VIP.","80","https://thegulel.com/go/pishachini?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_pishachini"
"Pishachini: The Healer","pishachini","✅ ready","Search · App · Demand Gen","description (≤90)","Every life she saves demands a death in return.","47","https://thegulel.com/go/pishachini?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_pishachini"
"Revenge of the Heir","heir","✅ ready","Search · App · Demand Gen","headline (≤30)","Revenge of the Heir","19","https://thegulel.com/go/heir?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_heir"
"Revenge of the Heir","heir","✅ ready","Search · App · Demand Gen","headline (≤30)","Episode 1 FREE on Gulel","23","https://thegulel.com/go/heir?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_heir"
"Revenge of the Heir","heir","✅ ready","Search · App · Demand Gen","headline (≤30)","10 साल बाद… वो लौट आया।","18","https://thegulel.com/go/heir?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_heir"
"Revenge of the Heir","heir","✅ ready","Search · App · Demand Gen","headline (≤30)","नौकर का बेटा… अब मालिक।","17","https://thegulel.com/go/heir?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_heir"
"Revenge of the Heir","heir","✅ ready","Search · App · Demand Gen","headline (≤30)","जिसने निकाला, उसका घर ख़रीद लेंगे?","23","https://thegulel.com/go/heir?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_heir"
"Revenge of the Heir","heir","✅ ready","Demand Gen · PMax","long headline (≤90)","Thrown out as the servant's son. Back ten years later to buy the mansion.","73","https://thegulel.com/go/heir?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_heir"
"Revenge of the Heir","heir","✅ ready","Search · App · Demand Gen","description (≤90)","Watch Episode 1 free on Gulel. 2-minute Hindi episodes. Ep 2+ with coins or VIP.","80","https://thegulel.com/go/heir?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_heir"
"Revenge of the Heir","heir","✅ ready","Search · App · Demand Gen","description (≤90)","Thrown out as the servant's son. Back ten years later to buy the mansion.","73","https://thegulel.com/go/heir?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_heir"
"The Substitute Bride","bride","✅ ready","Search · App · Demand Gen","headline (≤30)","The Substitute Bride","20","https://thegulel.com/go/bride?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_bride"
"The Substitute Bride","bride","✅ ready","Search · App · Demand Gen","headline (≤30)","Episode 1 FREE on Gulel","23","https://thegulel.com/go/bride?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_bride"
"The Substitute Bride","bride","✅ ready","Search · App · Demand Gen","headline (≤30)","मंडप में दुल्हन बदल गई।","17","https://thegulel.com/go/bride?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_bride"
"The Substitute Bride","bride","✅ ready","Search · App · Demand Gen","headline (≤30)","बहन की इज़्ज़त या अपनी ज़िंदगी?","20","https://thegulel.com/go/bride?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_bride"
"The Substitute Bride","bride","✅ ready","Search · App · Demand Gen","headline (≤30)","आप उसकी जगह होतीं तो?","16","https://thegulel.com/go/bride?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_bride"
"The Substitute Bride","bride","✅ ready","Demand Gen","headline (≤40)","Behen ki jagah shaadi… aur pehli raat.","38","https://thegulel.com/go/bride?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_bride"
"The Substitute Bride","bride","✅ ready","Demand Gen · PMax","long headline (≤90)","Sent in her sister's place on the wedding night. Watch Episode 1 free.","70","https://thegulel.com/go/bride?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_bride"
"The Substitute Bride","bride","✅ ready","Search · App · Demand Gen","description (≤90)","Watch Episode 1 free on Gulel. 2-minute Hindi episodes. Ep 2+ with coins or VIP.","80","https://thegulel.com/go/bride?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_bride"
"The Substitute Bride","bride","✅ ready","Search · App · Demand Gen","description (≤90)","Sent in her sister's place on the wedding night.","48","https://thegulel.com/go/bride?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_bride"
"CEO's Hidden Identity","ceo","✅ ready","Search · App · Demand Gen","headline (≤30)","CEO's Hidden Identity","21","https://thegulel.com/go/ceo?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_ceo"
"CEO's Hidden Identity","ceo","✅ ready","Search · App · Demand Gen","headline (≤30)","Episode 1 FREE on Gulel","23","https://thegulel.com/go/ceo?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_ceo"
"CEO's Hidden Identity","ceo","✅ ready","Search · App · Demand Gen","headline (≤30)","सबने उसे आम आदमी समझा।","18","https://thegulel.com/go/ceo?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_ceo"
"CEO's Hidden Identity","ceo","✅ ready","Search · App · Demand Gen","headline (≤30)","पैसा छुपाया… प्यार परखने के लिए।","21","https://thegulel.com/go/ceo?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_ceo"
"CEO's Hidden Identity","ceo","✅ ready","Search · App · Demand Gen","headline (≤30)","क्या आप अपनी दौलत छुपाते?","17","https://thegulel.com/go/ceo?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_ceo"
"CEO's Hidden Identity","ceo","✅ ready","Demand Gen","headline (≤40)","CEO hai… par uske liye aam aadmi bana.","38","https://thegulel.com/go/ceo?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_ceo"
"CEO's Hidden Identity","ceo","✅ ready","Demand Gen · PMax","long headline (≤90)","He hid a fortune to find out if her love was real. Watch Episode 1 free.","72","https://thegulel.com/go/ceo?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_ceo"
"CEO's Hidden Identity","ceo","✅ ready","Search · App · Demand Gen","description (≤90)","Watch Episode 1 free on Gulel. 2-minute Hindi episodes. Ep 2+ with coins or VIP.","80","https://thegulel.com/go/ceo?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_ceo"
"CEO's Hidden Identity","ceo","✅ ready","Search · App · Demand Gen","description (≤90)","He hid a fortune to find out if her love was real.","50","https://thegulel.com/go/ceo?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_ceo"
"The Secret Alliance","alliance","✅ ready","Search · App · Demand Gen","headline (≤30)","The Secret Alliance","19","https://thegulel.com/go/alliance?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_alliance"
"The Secret Alliance","alliance","✅ ready","Search · App · Demand Gen","headline (≤30)","Episode 1 FREE on Gulel","23","https://thegulel.com/go/alliance?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_alliance"
"The Secret Alliance","alliance","✅ ready","Search · App · Demand Gen","headline (≤30)","एक डेड मैन्स स्विच। कुछ घंटे।","19","https://thegulel.com/go/alliance?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_alliance"
"The Secret Alliance","alliance","✅ ready","Search · App · Demand Gen","headline (≤30)","चार अजनबी… एक ग़द्दार।","16","https://thegulel.com/go/alliance?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_alliance"
"The Secret Alliance","alliance","✅ ready","Search · App · Demand Gen","headline (≤30)","आप किस पर भरोसा करते?","17","https://thegulel.com/go/alliance?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_alliance"
"The Secret Alliance","alliance","✅ ready","Demand Gen","headline (≤40)","Chaar ajnabi. Ek jaanleva saazish.","34","https://thegulel.com/go/alliance?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_alliance"
"The Secret Alliance","alliance","✅ ready","Demand Gen · PMax","long headline (≤90)","Four strangers. One deadly conspiracy. Trust no one. Watch Episode 1 free.","74","https://thegulel.com/go/alliance?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_alliance"
"The Secret Alliance","alliance","✅ ready","Search · App · Demand Gen","description (≤90)","Watch Episode 1 free on Gulel. 2-minute Hindi episodes. Ep 2+ with coins or VIP.","80","https://thegulel.com/go/alliance?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_alliance"
"The Secret Alliance","alliance","✅ ready","Search · App · Demand Gen","description (≤90)","Four strangers. One deadly conspiracy. Trust no one.","52","https://thegulel.com/go/alliance?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_alliance"
"Whispers in the Dark","whispers","✅ ready","Search · App · Demand Gen","headline (≤30)","Whispers in the Dark","20","https://thegulel.com/go/whispers?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_whispers"
"Whispers in the Dark","whispers","✅ ready","Search · App · Demand Gen","headline (≤30)","Episode 1 FREE on Gulel","23","https://thegulel.com/go/whispers?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_whispers"
"Whispers in the Dark","whispers","✅ ready","Search · App · Demand Gen","headline (≤30)","200 साल पुराना श्राप।","14","https://thegulel.com/go/whispers?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_whispers"
"Whispers in the Dark","whispers","✅ ready","Search · App · Demand Gen","headline (≤30)","आप उस हवेली में रुकते?","16","https://thegulel.com/go/whispers?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_whispers"
"Whispers in the Dark","whispers","✅ ready","Search · App · Demand Gen","headline (≤30)","दादी ने ये बात क्यों छुपाई?","16","https://thegulel.com/go/whispers?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_whispers"
"Whispers in the Dark","whispers","✅ ready","Demand Gen · PMax","long headline (≤90)","The walls of the haveli have started to whisper her name. Watch Episode 1 free.","79","https://thegulel.com/go/whispers?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_whispers"
"Whispers in the Dark","whispers","✅ ready","Search · App · Demand Gen","description (≤90)","Watch Episode 1 free on Gulel. 2-minute Hindi episodes. Ep 2+ with coins or VIP.","80","https://thegulel.com/go/whispers?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_whispers"
"Whispers in the Dark","whispers","✅ ready","Search · App · Demand Gen","description (≤90)","The walls of the haveli have started to whisper her name.","57","https://thegulel.com/go/whispers?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_whispers"
"Million Dollar Heart","heart","✅ ready","Search · App · Demand Gen","headline (≤30)","Million Dollar Heart","20","https://thegulel.com/go/heart?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_heart"
"Million Dollar Heart","heart","✅ ready","Search · App · Demand Gen","headline (≤30)","Episode 1 FREE on Gulel","23","https://thegulel.com/go/heart?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_heart"
"Million Dollar Heart","heart","✅ ready","Search · App · Demand Gen","headline (≤30)","अरबपति… पर उसे नहीं पता।","19","https://thegulel.com/go/heart?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_heart"
"Million Dollar Heart","heart","✅ ready","Search · App · Demand Gen","headline (≤30)","पैसा या सच्चा प्यार?","11","https://thegulel.com/go/heart?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_heart"
"Million Dollar Heart","heart","✅ ready","Search · App · Demand Gen","headline (≤30)","क्या आप पहचान छुपाते?","14","https://thegulel.com/go/heart?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_heart"
"Million Dollar Heart","heart","✅ ready","Demand Gen · PMax","long headline (≤90)","India's youngest tech billionaire. A small-town teacher who doesn't know.","73","https://thegulel.com/go/heart?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_heart"
"Million Dollar Heart","heart","✅ ready","Search · App · Demand Gen","description (≤90)","Watch Episode 1 free on Gulel. 2-minute Hindi episodes. Ep 2+ with coins or VIP.","80","https://thegulel.com/go/heart?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_heart"
"Million Dollar Heart","heart","✅ ready","Search · App · Demand Gen","description (≤90)","India's youngest tech billionaire. A small-town teacher who doesn't know.","73","https://thegulel.com/go/heart?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_heart"
"Medical Genius","doctor","✅ ready","Search · App · Demand Gen","headline (≤30)","Medical Genius","14","https://thegulel.com/go/doctor?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_doctor"
"Medical Genius","doctor","✅ ready","Search · App · Demand Gen","headline (≤30)","Episode 1 FREE on Gulel","23","https://thegulel.com/go/doctor?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_doctor"
"Medical Genius","doctor","✅ ready","Search · App · Demand Gen","headline (≤30)","सबसे होनहार डॉक्टर… छुपा अतीत।","21","https://thegulel.com/go/doctor?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_doctor"
"Medical Genius","doctor","✅ ready","Search · App · Demand Gen","headline (≤30)","5 मिनट। एक ऑपरेशन।","16","https://thegulel.com/go/doctor?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_doctor"
"Medical Genius","doctor","✅ ready","Search · App · Demand Gen","headline (≤30)","नियम या मरीज़ की जान?","15","https://thegulel.com/go/doctor?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_doctor"
"Medical Genius","doctor","✅ ready","Demand Gen · PMax","long headline (≤90)","Brilliant surgeon. Mysterious past. One forbidden love. Watch Episode 1 free.","77","https://thegulel.com/go/doctor?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_doctor"
"Medical Genius","doctor","✅ ready","Search · App · Demand Gen","description (≤90)","Watch Episode 1 free on Gulel. 2-minute Hindi episodes. Ep 2+ with coins or VIP.","80","https://thegulel.com/go/doctor?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_doctor"
"Medical Genius","doctor","✅ ready","Search · App · Demand Gen","description (≤90)","Brilliant surgeon. Mysterious past. One forbidden love.","55","https://thegulel.com/go/doctor?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_doctor"
"Three Weddings","weddings","✅ ready","Search · App · Demand Gen","headline (≤30)","Three Weddings","14","https://thegulel.com/go/weddings?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_weddings"
"Three Weddings","weddings","✅ ready","Search · App · Demand Gen","headline (≤30)","Episode 1 FREE on Gulel","23","https://thegulel.com/go/weddings?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_weddings"
"Three Weddings","weddings","✅ ready","Search · App · Demand Gen","headline (≤30)","तीन बहनें, तीन शादियाँ।","15","https://thegulel.com/go/weddings?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_weddings"
