"series","alias","status","campaign","ad_name","language","primary_text","headline","description","cta_button","website_url","url_parameters","creative_9x16","creative_4x5","creative_1x1"
"Pishachini: The Healer","pishachini","✅ ready","202610_pilot-test_pishachini","pishachini_h03_hi","hi","वो हर बीमारी ठीक करती है… पर कीमत क्या है? 🪔
Episode 1 फ्री देखें। आगे के एपिसोड coins या VIP से।","Pishachini · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/pishachini","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/pishachini/meta-9x16.jpg","marketing/assets/ads/pishachini/meta-4x5.jpg","marketing/assets/ads/pishachini/meta-1x1.jpg"
"Pishachini: The Healer","pishachini","✅ ready","202610_pilot-test_pishachini","pishachini_h03_hinglish","hinglish","Woh har bimaari theek karti hai… par keemat kya hai? 🪔
Episode 1 FREE on Gulel. Ep 2+ with coins or VIP.","Pishachini · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/pishachini","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/pishachini/meta-9x16.jpg","marketing/assets/ads/pishachini/meta-4x5.jpg","marketing/assets/ads/pishachini/meta-1x1.jpg"
"Pishachini: The Healer","pishachini","✅ ready","202610_pilot-test_pishachini","pishachini_h03_en","en","Every life she saves demands a death in return.
Episode 1 free on Gulel · Ep 2+ with coins or VIP.","Pishachini · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/pishachini","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/pishachini/meta-9x16.jpg","marketing/assets/ads/pishachini/meta-4x5.jpg","marketing/assets/ads/pishachini/meta-1x1.jpg"
"Revenge of the Heir","heir","✅ ready","202610_pilot-test_heir","heir_h04_hi","hi","नौकर का बेटा कहकर निकाला… 10 साल बाद हवेली ख़रीदने लौटा। ⏳
Episode 1 फ्री देखें। आगे के एपिसोड coins या VIP से।","Revenge of the Heir · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/heir","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/heir/meta-9x16.jpg","marketing/assets/ads/heir/meta-4x5.jpg","marketing/assets/ads/heir/meta-1x1.jpg"
"Revenge of the Heir","heir","✅ ready","202610_pilot-test_heir","heir_h04_hinglish","hinglish","Naukar ka beta kehkar nikala tha… ab maalik. ⏳
Episode 1 FREE on Gulel. Ep 2+ with coins or VIP.","Revenge of the Heir · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/heir","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/heir/meta-9x16.jpg","marketing/assets/ads/heir/meta-4x5.jpg","marketing/assets/ads/heir/meta-1x1.jpg"
"Revenge of the Heir","heir","✅ ready","202610_pilot-test_heir","heir_h04_en","en","Thrown out as the servant's son. Back ten years later to buy the mansion.
Episode 1 free on Gulel · Ep 2+ with coins or VIP.","Revenge of the Heir · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/heir","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/heir/meta-9x16.jpg","marketing/assets/ads/heir/meta-4x5.jpg","marketing/assets/ads/heir/meta-1x1.jpg"
"The Substitute Bride","bride","✅ ready","202610_pilot-test_bride","bride_h01_hi","hi","बहन की जगह मुझे भेज दिया… शादी की रात। 🌸
Episode 1 फ्री देखें। आगे के एपिसोड coins या VIP से।","The Substitute Bride · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/bride","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/bride/meta-9x16.jpg","marketing/assets/ads/bride/meta-4x5.jpg","marketing/assets/ads/bride/meta-1x1.jpg"
"The Substitute Bride","bride","✅ ready","202610_pilot-test_bride","bride_h01_hinglish","hinglish","Behen ki jagah shaadi… aur pehli raat. 🌸
Episode 1 FREE on Gulel. Ep 2+ with coins or VIP.","The Substitute Bride · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/bride","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/bride/meta-9x16.jpg","marketing/assets/ads/bride/meta-4x5.jpg","marketing/assets/ads/bride/meta-1x1.jpg"
"The Substitute Bride","bride","✅ ready","202610_pilot-test_bride","bride_h01_en","en","Sent in her sister's place on the wedding night.
Episode 1 free on Gulel · Ep 2+ with coins or VIP.","The Substitute Bride · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/bride","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/bride/meta-9x16.jpg","marketing/assets/ads/bride/meta-4x5.jpg","marketing/assets/ads/bride/meta-1x1.jpg"
"CEO's Hidden Identity","ceo","✅ ready","202610_pilot-test_ceo","ceo_h02_hi","hi","करोड़ों की कंपनी का मालिक… उसके लिए बना एक आम आदमी। 🤫
Episode 1 फ्री देखें। आगे के एपिसोड coins या VIP से।","CEO's Hidden Identity · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/ceo","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/ceo/meta-9x16.jpg","marketing/assets/ads/ceo/meta-4x5.jpg","marketing/assets/ads/ceo/meta-1x1.jpg"
"CEO's Hidden Identity","ceo","✅ ready","202610_pilot-test_ceo","ceo_h02_hinglish","hinglish","CEO hai… par uske liye aam aadmi bana. 🤫
Episode 1 FREE on Gulel. Ep 2+ with coins or VIP.","CEO's Hidden Identity · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/ceo","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/ceo/meta-9x16.jpg","marketing/assets/ads/ceo/meta-4x5.jpg","marketing/assets/ads/ceo/meta-1x1.jpg"
"CEO's Hidden Identity","ceo","✅ ready","202610_pilot-test_ceo","ceo_h02_en","en","He hid a fortune to find out if her love was real.
Episode 1 free on Gulel · Ep 2+ with coins or VIP.","CEO's Hidden Identity · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/ceo","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/ceo/meta-9x16.jpg","marketing/assets/ads/ceo/meta-4x5.jpg","marketing/assets/ads/ceo/meta-1x1.jpg"
"The Secret Alliance","alliance","✅ ready","202610_pilot-test_alliance","alliance_h08_hi","hi","चार अजनबी, एक जानलेवा साज़िश… भरोसा करो या मरो। 🧨
Episode 1 फ्री देखें। आगे के एपिसोड coins या VIP से।","The Secret Alliance · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/alliance","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/alliance/meta-9x16.jpg","marketing/assets/ads/alliance/meta-4x5.jpg","marketing/assets/ads/alliance/meta-1x1.jpg"
